quarter_start,quarter_end,state_name,fdi_inr_crore,fdi_usd_million,fdi_percent
2019-10-01,2025-09-30,MAHARASHTRA,788640.48,99246.68,31.22
2019-10-01,2025-09-30,KARNATAKA,526510.84,67052.91,21.09
2019-10-01,2025-09-30,GUJARAT,366896.53,47157.96,14.83
2019-10-01,2025-09-30,DELHI,315456.03,40111.87,12.62
2019-10-01,2025-09-30,TAMIL NADU,146031.00,18190.66,5.72
2019-10-01,2025-09-30,HARYANA,129690.21,16105.39,5.07
2019-10-01,2025-09-30,TELANGANA,96078.74,11908.28,3.75
2019-10-01,2025-09-30,RAJASTHAN,26892.30,3381.50,1.06
2019-10-01,2025-09-30,UTTAR PRADESH,22278.60,2753.85,0.87
2019-10-01,2025-09-30,JHARKHAND,19468.10,2677.06,0.84
2019-10-01,2025-09-30,WEST BENGAL,16408.86,2076.86,0.65
2019-10-01,2025-09-30,KERALA,12677.73,1584.96,0.5
2019-10-01,2025-09-30,ANDHRA PRADESH,12606.99,1561.92,0.49
2019-10-01,2025-09-30,PUNJAB,12088.30,1541.68,0.48
2019-10-01,2025-09-30,MADHYA PRADESH,4890.43,640.54,0.2
2019-10-01,2025-09-30,HIMACHAL PRADESH,3307.84,412.79,0.13
2019-10-01,2025-09-30,UTTARAKHAND,1847.13,235.6,0.07
2019-10-01,2025-09-30,ODISHA,1721.87,220.25,0.07
2019-10-01,2025-09-30,CHHATTISGARH,1842.58,216.98,0.07
2019-10-01,2025-09-30,BIHAR,1655.64,216.46,0.07
2019-10-01,2025-09-30,GOA,1607.64,207.15,0.07
2019-10-01,2025-09-30,Dadra and Nagar Haveli and Daman and Diu,1360.44,181.29,0.06
2019-10-01,2025-09-30,CHANDIGARH,914.55,116.6,0.04
2019-10-01,2025-09-30,PUDUCHERRY,575.94,76.1,0.02
2019-10-01,2025-09-30,ASSAM,193.74,25.34,0.008
2019-10-01,2025-09-30,ARUNACHAL PRADESH,53.25,7.03,0.002
2019-10-01,2025-09-30,JAMMU AND KASHMIR,14.65,1.81,0.0006
2019-10-01,2025-09-30,TRIPURA,11.72,1.45,0.0005
2019-10-01,2025-09-30,MEGHALAYA,9.08,1.20,0.0004
2019-10-01,2025-09-30,LADAKH,1.70,0.22,0.00007
2019-10-01,2025-09-30,NAGALAND,0.52,0.06,0.00002
2019-10-01,2025-09-30,MANIPUR,0.26,0.03,0.000009
2019-10-01,2025-09-30,State Not Indicated,246.69,32.93,0.01
2019-10-01,2025-12-31,MAHARASHTRA,831492.10,104062.98,31.47
2019-10-01,2025-12-31,KARNATAKA,542157.16,68809.07,20.81
2019-10-01,2025-12-31,GUJARAT,391612.67,49903.33,15.09
2019-10-01,2025-12-31,DELHI,326372.91,41335.09,12.50
2019-10-01,2025-12-31,TAMIL NADU,148875.40,18509.99,5.6
2019-10-01,2025-12-31,HARYANA,135173.76,16721.61,5.06
2019-10-01,2025-12-31,TELANGANA,101137.55,12477.00,3.77
2019-10-01,2025-12-31,RAJASTHAN,27610.01,3462.03,1.05
2019-10-01,2025-12-31,UTTAR PRADESH,23158.17,2852.03,0.86
2019-10-01,2025-12-31,JHARKHAND,19471.08,2677.39,0.81
2019-10-01,2025-12-31,WEST BENGAL,16670.42,2106.26,0.64
2019-10-01,2025-12-31,KERALA,14132.03,1749.27,0.53
2019-10-01,2025-12-31,ANDHRA PRADESH,13876.12,1703.17,0.52
2019-10-01,2025-12-31,PUNJAB,12429.48,1580.09,0.48
2019-10-01,2025-12-31,MADHYA PRADESH,5151.77,670.09,0.2
2019-10-01,2025-12-31,HIMACHAL PRADESH,3359.82,418.67,0.13
2019-10-01,2025-12-31,ODISHA,1919.65,242.51,0.07
2019-10-01,2025-12-31,UTTARAKHAND,1865.37,237.63,0.07
2019-10-01,2025-12-31,CHHATTISGARH,1868.06,219.81,0.07
2019-10-01,2025-12-31,BIHAR,1655.64,216.46,0.07
2019-10-01,2025-12-31,GOA,1610.84,207.52,0.06
2019-10-01,2025-12-31,Dadra and Nagar Haveli and Daman and Diu,1360.44,181.29,0.05
2019-10-01,2025-12-31,CHANDIGARH,947.33,120.3,0.04
2019-10-01,2025-12-31,PUDUCHERRY,578.99,76.44,0.02
2019-10-01,2025-12-31,MANIPUR,0.26,0.03,0.000009
2019-10-01,2025-12-31,JAMMU AND KASHMIR,277.10,30.94,0.009
2019-10-01,2025-12-31,ASSAM,199.73,26.01,0.008
2019-10-01,2025-12-31,ARUNACHAL PRADESH,53.25,7.03,0.002
2019-10-01,2025-12-31,TRIPURA,11.72,1.45,0.0004
2019-10-01,2025-12-31,MEGHALAYA,9.08,1.20,0.0004
2019-10-01,2025-12-31,LADAKH,1.70,0.22,0.00007
2019-10-01,2025-12-31,NAGALAND,0.52,0.06,0.00002
2019-10-01,2025-12-31,State Not Indicated,246.69,32.93,0.01
