year,month,group,item,category,value_cr,source_url,source,updated_on
2022,June,Financial Assets,,,25621348.1,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Assets,,,26423992.1,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Assets,,,27187715.6,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Assets,,,27844981.1,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,June,Financial Assets,Per cent of GDP,,102.8,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Assets,Per cent of GDP,,102.6,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Assets,Per cent of GDP,,103.3,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Assets,Per cent of GDP,,103.5,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,June,Financial Assets,Bank Deposits,,11843527.1,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Assets,Bank Deposits,,12143059.7,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Assets,Bank Deposits,,12399459.4,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Assets,Bank Deposits,,12707326.2,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,June,Financial Assets,Bank Deposits,Commercial Banks,10987692.1,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Assets,Bank Deposits,Commercial Banks,11288257.2,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Assets,Bank Deposits,Commercial Banks,11536717.0,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Assets,Bank Deposits,Commercial Banks,11821685.0,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,June,Financial Assets,Bank Deposits,Co-operative Banks,855834.9,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Assets,Bank Deposits,Co-operative Banks,854802.6,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Assets,Bank Deposits,Co-operative Banks,862742.4,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Assets,Bank Deposits,Co-operative Banks,885641.2,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,June,Financial Assets,Non-Bank Deposits  Other Financial Institutions,,216170.0,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Assets,Non-Bank Deposits  Other Financial Institutions,,218246.7,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Assets,Non-Bank Deposits  Other Financial Institutions,,226328.2,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Assets,Non-Bank Deposits  Other Financial Institutions,,228562.2,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,June,Financial Assets,Non-Bank Deposits  Other Financial Institutions,Non-Banking Financial Companies,74794.2,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Assets,Non-Bank Deposits  Other Financial Institutions,Non-Banking Financial Companies,78061.4,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Assets,Non-Bank Deposits  Other Financial Institutions,Non-Banking Financial Companies,81308.3,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Assets,Non-Bank Deposits  Other Financial Institutions,Non-Banking Financial Companies,85254.0,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,June,Financial Assets,Non-Bank Deposits  Other Financial Institutions,Housing Finance Companies,141375.8,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Assets,Non-Bank Deposits  Other Financial Institutions,Housing Finance Companies,140185.3,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Assets,Non-Bank Deposits  Other Financial Institutions,Housing Finance Companies,145020.0,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Assets,Non-Bank Deposits  Other Financial Institutions,Housing Finance Companies,143308.2,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,June,Financial Assets,Life Insurance Funds,,5325967.3,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Assets,Life Insurance Funds,,5559681.9,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Assets,Life Insurance Funds,,5786592.6,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Assets,Life Insurance Funds,,5795430.6,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,June,Financial Assets,Currency,,2950343.2,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Assets,Currency,,2895763.9,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Assets,Currency,,2972524.0,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Assets,Currency,,3121514.1,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,June,Financial Assets,Mutual Funds,,2048097.3,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Assets,Mutual Funds,,2260209.7,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Assets,Mutual Funds,,2355315.8,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Assets,Mutual Funds,,2367792.5,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,June,Financial Assets,Public Provident Fund (PPF),,851913.4,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Assets,Public Provident Fund (PPF),,858591.1,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Assets,Public Provident Fund (PPF),,864730.6,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Assets,Public Provident Fund (PPF),,939449.0,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,June,Financial Assets,Pension Funds,,744459.2,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Assets,Pension Funds,,796454.0,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Assets,Pension Funds,,853412.0,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,March,Financial Assets,Pension Funds,,898343.0,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,June,Financial Assets,Small Savings (excluding PPF),,1640870.6,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,September,Financial Assets,Small Savings (excluding PPF),,1691985.1,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2022,December,Financial Assets,Small Savings (excluding PPF),,1729352.9,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
