year,month,category,current_perception_mean_estimate,current_perception_mean_se,current_perception_median_estimate,current_perception_median_se,three_months_ahead_expectation_mean_estimate,three_months_ahead_expectation_mean_se,three_months_ahead_expectation_median_estimate,three_months_ahead_expectation_median_se,one_year_ahead_expectation_mean_estimate,one_year_ahead_expectation_mean_se,one_year_ahead_expectation_median_estimate,one_year_ahead_expectation_median_se,updated_on,data_url,data_source,released_on
2018,December,Household Inflation Expectations,8.3,0.11,7.1,0.18,9.1,0.11,8.2,0.15,8.6,0.13,8.5,0.17,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2019-01-01
2019,March,Household Inflation Expectations,8.0,0.09,6.9,0.14,8.7,0.10,7.8,0.12,8.3,0.12,8.1,0.17,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2019-04-01
2019,May,Household Inflation Expectations,7.8,0.10,6.6,0.15,8.6,0.10,7.6,0.12,8.4,0.12,8.1,0.16,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2019-06-01
2019,July,Household Inflation Expectations,7.9,0.10,6.6,0.15,8.6,0.10,7.6,0.12,8.3,0.13,7.9,0.18,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2019-08-01
2019,September,Household Inflation Expectations,8.2,0.12,7.1,0.18,8.9,0.12,8.0,0.15,8.6,0.13,8.1,0.19,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2019-10-01
2019,November,Household Inflation Expectations,9.1,0.10,8.2,0.17,9.8,0.11,9.2,0.23,9.7,0.12,9.9,0.19,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2019-12-01
2020,January,Household Inflation Expectations,8.7,0.11,7.6,0.19,9.5,0.11,8.6,0.16,9.3,0.13,9.2,0.25,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2020-02-01
2020,March,Household Inflation Expectations,8.4,0.09,7.6,0.12,9.2,0.10,8.5,0.11,9.1,0.11,9.0,0.18,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2020-04-01
2020,May,Household Inflation Expectations,9.6,0.09,9.3,0.28,10.6,0.09,10.4,0.06,9.7,0.12,10.2,0.07,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2020-06-01
2020,July,Household Inflation Expectations,10.0,0.11,9.9,0.21,10.8,0.11,10.5,0.06,9.8,0.14,10.3,0.08,2026-04-20,https://rbi.org.in/Scripts/BimonthlyPublications.aspx?head=Inflation+Expectations+Survey+of+Households+-+Bi-monthly,RBI,2020-08-01
