base_year,sector,industry,year,period_as_on,wri_index,updated_on
2016,Manufacturing Sector,Sugar,2024,1st January,205.3,2026-04-29
2016,Manufacturing Sector,Sugar,2024,1st January,232.5,2026-04-29
2016,Manufacturing Sector,Sugar,2024,1st January,152.4,2026-04-29
2016,Manufacturing Sector,Sugar,2024,1st January,151.7,2026-04-29
2016,Manufacturing Sector,Sugar,2024,1st January,135.5,2026-04-29
2016,Manufacturing Sector,Sugar,2024,1st January,205.6,2026-04-29
2016,Manufacturing Sector,Sugar,2024,1st January,196.1,2026-04-29
2016,Manufacturing Sector,Sugar,2024,1st January,228.6,2026-04-29
2016,Manufacturing Sector,Sugar,2024,1st January,158.8,2026-04-29
2016,Manufacturing Sector,Sugar,2024,1st January,135.4,2026-04-29
2016,Manufacturing Sector,Sugar,2024,1st January,131.0,2026-04-29
2016,Manufacturing Sector,Sugar,2024,1st January,153.5,2026-04-29
2016,Manufacturing Sector,Sugar,2024,1st January,203.5,2026-04-29
2016,Manufacturing Sector,Sugar,2024,1st January,144.2,2026-04-29
2016,Manufacturing Sector,Sugar,2024,1st January,133.3,2026-04-29
2016,Manufacturing Sector,Sugar,2024,1st January,269.9,2026-04-29
2016,Manufacturing Sector,Sugar,2024,1st January,128.1,2026-04-29
2016,Manufacturing Sector,Sugar,2024,1st January,169.7,2026-04-29
2016,Manufacturing Sector,Sugar,2024,1st January,208.0,2026-04-29
2016,Manufacturing Sector,Oils & Fats,2024,1st January,229.1,2026-04-29
2016,Manufacturing Sector,Oils & Fats,2024,1st January,170.8,2026-04-29
2016,Manufacturing Sector,Oils & Fats,2024,1st January,164.8,2026-04-29
2016,Manufacturing Sector,Oils & Fats,2024,1st January,146.9,2026-04-29
2016,Manufacturing Sector,Oils & Fats,2024,1st January,180.8,2026-04-29
2016,Manufacturing Sector,Oils & Fats,2024,1st January,176.4,2026-04-29
2016,Manufacturing Sector,Oils & Fats,2024,1st January,153.2,2026-04-29
2016,Manufacturing Sector,Oils & Fats,2024,1st January,184.1,2026-04-29
2016,Manufacturing Sector,Oils & Fats,2024,1st January,198.4,2026-04-29
2016,Manufacturing Sector,Oils & Fats,2024,1st January,209.7,2026-04-29
2016,Manufacturing Sector,Oils & Fats,2024,1st January,98.5,2026-04-29
2016,Manufacturing Sector,Oils & Fats,2024,1st January,0.0,2026-04-29
2016,Manufacturing Sector,Oils & Fats,2024,1st January,146.5,2026-04-29
2016,Manufacturing Sector,Oils & Fats,2024,1st January,166.5,2026-04-29
2016,Manufacturing Sector,Oils & Fats,2024,1st January,179.1,2026-04-29
2016,Manufacturing Sector,Oils & Fats,2024,1st January,169.7,2026-04-29
